sorensen,unique1,unique2,comp,type
0.075676188,0.958035518,0.615194682,System,Tarpon
0.055415598,0.95656742,0.923469765,System,Tarpon
0.029183132,0.983562614,0.870059289,System,Tarpon
0.048840194,0.973952925,0.60904685,System,Tarpon
0.045174885,0.976485928,0.426823049,System,Tarpon
0.041204748,0.978301082,0.592310773,System,Tarpon
0.130845474,0.92123982,0.613666096,System,Tarpon
0.069336396,0.960890016,0.69474606,System,Tarpon
0.032496007,0.983208142,0.498332221,System,Tarpon
0.053234246,0.971790262,0.528535078,System,Tarpon
7.28E-04,0.999635825,0,System,Tarpon
0.011148652,0.994388819,0.151315789,System,Tarpon
0.024967761,0.98718064,0.522965351,System,Tarpon
0.019613458,0.98997132,0.556891767,System,Tarpon
0.109138385,0.92832886,0.771310476,System,Tarpon
0.00838899,0.995782321,0.236947791,System,Tarpon
0.035654677,0.981285406,0.623973727,System,Tarpon
0.121596768,0.912206097,0.802273574,System,Tarpon
0.093468459,0.939071755,0.799391887,System,Tarpon
0.006114441,0.996926673,0.416666667,System,Tarpon
0.023444436,0.98791096,0.613680782,System,Tarpon
0.041067427,0.978650335,0.462727775,System,Tarpon
0.100750654,0.941799573,0.625325476,System,Tarpon
0.001588107,0.99920429,0.618556701,System,Tarpon
0.110138295,0.92728517,0.773069492,System,Tarpon
0.019402605,0.989546888,0.865113759,System,Tarpon
0.029649377,0.98472137,0.501035197,System,Tarpon
0.134597362,0.90482273,0.770242865,System,Tarpon
0.127926325,0.915039103,0.741192666,System,Tarpon
0.104330278,0.939539643,0.619790229,System,Tarpon
0.056284765,0.969451244,0.642734202,System,Tarpon
0.064418828,0.96484746,0.615292426,System,Tarpon
0.025399568,0.987029705,0.391078838,System,Tarpon
0.021390739,0.989008631,0.602848101,System,Tarpon
0.019842988,0.989408523,0.84315531,System,Tarpon
0.141179938,0.911973484,0.6436342,System,Tarpon
0.014581255,0.992404103,0.818590705,System,Tarpon
0.096003142,0.944030182,0.662831858,System,Tarpon
0.008206354,0.995879195,0.040816327,System,Tarpon
0.027415698,0.98573344,0.649973075,System,Tarpon
0.016977551,0.991424628,0.159388646,System,Tarpon
0.065996064,0.964878451,0.454234654,Species,ACS
0.095578256,0.941729708,0.734315156,Species,ACS
0.015716395,0.991139956,0.930504353,Species,ACS
0.072994702,0.946864112,0.883444132,Species,ACS
0.140750709,0.904639029,0.73140298,Species,ACS
0.053669046,0.971426094,0.559172967,Species,ACS
0.09425848,0.943987994,0.702817425,Species,ACS
0.089299572,0.947497769,0.701467076,Species,ACS
0.151474674,0.903526554,0.647636789,Species,ACS
0.05540202,0.971018587,0.372998702,Species,ACS
0.072905343,0.960984724,0.445013515,Species,ACS
0.125034161,0.90531833,0.815970867,Species,ACS
0.104211305,0.930088395,0.795417301,Species,ACS
